Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CGA Total Claimants (2015),CGA Claimants Male 16-34 (2015),CGA Claimants Male 35-49 (2015),CGA Claimants Male 50-64 (2015),CGA Claimants Male 65+ (2015),CGA Claimants Female 16-34 (2015),CGA Claimants Female 35-49 (2015),CGA Claimants Female 50-59 (2015),CGA Claimants Female 60-64 (2015),CGA Claimants Female 65+ (2015)
95MM13,CULMORE,DERRY,2600,260,200,250,400,310,350,230,160,430
95MM14,EBRINGTON,DERRY,1140,110,110,110,190,100,100,70,50,320
95MM15,EGLINTON,DERRY,1140,60,80,80,280,50,100,80,70,330
95MM16,ENAGH (DERRY),DERRY,1460,140,130,120,300,140,160,100,80,300
95MM17,FOYLE SPRINGS,DERRY,1210,120,80,140,240,90,90,110,100,240
95MM18,HOLLY MOUNT,DERRY,1180,100,80,120,240,80,130,90,70,270
95MM19,KILFENNAN,DERRY,940,50,70,80,210,80,70,50,80,250
95MM20,LISNAGELVIN,DERRY,1360,80,90,110,300,100,110,90,60,430
95MM21,NEW BUILDINGS,DERRY,1040,60,60,90,240,80,80,80,70,300
95MM22,PENNYBURN,DERRY,980,50,30,60,290,40,30,60,50,360
95MM23,ROSEMOUNT,DERRY,1130,150,160,140,160,130,100,70,50,190
95MM24,SHANTALLOW EAST,DERRY,1200,140,100,120,190,140,130,100,50,240
95MM25,SHANTALLOW WEST,DERRY,2210,280,230,210,190,370,360,230,130,210
95MM26,SPRINGTOWN,DERRY,1060,100,60,130,170,90,120,120,90,190
95MM27,STRAND (DERRY),DERRY,1680,280,250,250,230,140,90,100,60,290
95MM28,THE DIAMOND,DERRY,1190,160,170,200,160,120,80,110,50,150
95MM29,VICTORIA (DERRY),DERRY,1180,150,130,120,170,150,130,80,50,200
95MM30,WESTLAND,DERRY,1060,120,100,120,160,100,110,100,40,210
95NN01,ARDGLASS,DOWN,1150,100,90,130,260,80,90,60,60,270
95NN02,AUDLEYS ACRE,DOWN,730,50,40,50,180,50,40,50,60,230
95NN03,BALLYMAGLAVE,DOWN,920,40,60,60,220,60,70,80,50,280
95NN04,BALLYMOTE,DOWN,1100,160,110,130,130,150,120,80,50,190
95NN05,BALLYNAHINCH EAST,DOWN,830,60,60,70,180,70,70,50,60,220
95NN06,CASTLEWELLAN,DOWN,960,80,80,90,210,80,110,60,60,200
95NN07,CATHEDRAL,DOWN,1050,100,90,110,180,120,100,80,50,230
95NN08,CROSSGAR,DOWN,880,30,40,70,250,40,40,60,60,270
95NN09,DERRYBOY,DOWN,870,50,30,40,270,30,30,50,50,310
95NN10,DONARD,DOWN,1080,50,40,90,290,40,60,50,70,380
95NN11,DRUMANESS,DOWN,960,70,60,90,220,70,90,60,50,250
95NN12,DUNDRUM,DOWN,900,40,70,90,200,60,70,60,50,260
95NN13,DUNMORE,DOWN,850,30,30,60,270,40,40,40,50,300
95NN14,KILLOUGH,DOWN,980,80,80,110,220,60,70,70,70,230
95NN15,KILLYLEAGH,DOWN,980,70,60,80,220,80,70,70,50,270
95NN16,KILMORE,DOWN,960,30,30,40,310,30,40,40,70,370
95NN17,MURLOUGH,DOWN,1050,110,90,110,170,100,110,70,60,240
95NN18,QUOILE,DOWN,950,80,60,90,230,60,50,60,50,260
95NN19,SAINTFIELD,DOWN,940,40,30,60,290,40,40,50,60,340
95NN20,SEAFORDE,DOWN,870,60,40,70,220,40,70,60,50,250
95NN21,SHIMNA,DOWN,1040,60,70,80,250,60,80,70,60,320
95NN22,STRANGFORD,DOWN,840,40,50,50,250,40,50,40,50,270
95NN23,TOLLYMORE,DOWN,1110,60,70,120,270,60,80,80,80,300
95OO01,ALTMORE,DUNGANNON,710,40,60,70,180,50,50,40,40,190
95OO02,AUGHER,DUNGANNON,480,20,30,50,120,20,30,30,40,140
95OO03,AUGHNACLOY,DUNGANNON,720,30,40,70,170,40,60,40,50,210
95OO04,BALLYGAWLEY,DUNGANNON,740,40,50,100,180,40,70,50,30,190
95OO05,BALLYSAGGART,DUNGANNON,840,80,70,110,130,90,90,70,40,160
95OO06,BENBURB,DUNGANNON,670,40,40,70,180,30,40,50,30,190
95OO07,CALEDON,DUNGANNON,640,30,40,50,180,30,50,40,30,190
95OO08,CASTLECAULFIELD,DUNGANNON,700,40,40,70,190,40,30,50,30,210
95OO09,CLOGHER,DUNGANNON,650,40,30,70,190,30,40,30,30,200
95OO10,COALISLAND NORTH,DUNGANNON,1050,80,80,120,180,80,120,90,50,250
95OO11,COALISLAND SOUTH,DUNGANNON,950,70,110,120,130,90,130,70,50,170
95OO12,COALISLAND WEST AND NEWMILLS,DUNGANNON,850,60,70,70,170,90,80,60,60,190
95OO13,COOLHILL,DUNGANNON,610,40,40,40,130,40,50,50,40,200
95OO14,DONAGHMORE (DUNGANNON),DUNGANNON,660,30,40,60,170,30,50,40,60,190
95OO15,DRUMGLASS,DUNGANNON,660,50,50,70,110,70,70,60,40,150
95OO16,FIVEMILETOWN,DUNGANNON,610,20,30,50,170,30,50,40,30,190
95OO17,KILLYMAN,DUNGANNON,720,40,40,60,200,30,40,50,40,220
95OO18,KILLYMEAL,DUNGANNON,720,40,50,70,150,40,40,60,40,220
95OO19,MOY,DUNGANNON,700,40,50,50,180,40,60,60,30,200
95OO20,MOYGASHEL,DUNGANNON,670,30,30,50,170,40,40,30,30,250
95OO21,MULLAGHMORE,DUNGANNON,770,50,70,60,170,40,60,50,50,220
95OO22,WASHING BAY,DUNGANNON,780,70,60,90,150,50,90,60,50,170
95PP01,BALLINAMALLARD,FERMANAGH,610,40,30,60,150,30,40,40,40,180
95PP02,BELCOO AND GARRISON,FERMANAGH,630,40,40,70,160,20,40,40,50,180
95PP03,BELLEEK AND BOA,FERMANAGH,670,40,40,70,150,50,50,60,50,160
95PP04,BOHO CLEENISH AND LETTERBREEN,FERMANAGH,660,40,40,70,180,30,50,40,40,180
95PP05,BROOKEBOROUGH,FERMANAGH,610,30,30,60,180,20,50,30,40,180
95PP06,CASTLECOOLE,FERMANAGH,1120,70,70,110,210,90,90,90,70,320
95PP07,DERRYGONNELLY,FERMANAGH,710,40,50,70,180,40,50,40,50,210
95PP08,DERRYLIN,FERMANAGH,530,20,30,60,140,30,20,30,40,160
95PP09,DEVENISH,FERMANAGH,790,70,70,80,150,50,60,50,30,230
95PP10,DONAGH,FERMANAGH,510,30,30,50,150,30,30,30,20,140
95PP11,ERNE,FERMANAGH,950,80,80,90,210,70,90,60,50,250
95PP12,FLORENCECOURT AND KINAWLEY,FERMANAGH,550,40,40,30,160,20,40,30,40,160
95PP13,IRVINESTOWN,FERMANAGH,830,50,70,90,160,70,80,60,40,210
95PP14,KESH EDERNEY AND LACK,FERMANAGH,980,50,70,90,240,60,70,60,60,270
95PP15,LISBELLAW,FERMANAGH,660,40,40,60,170,30,50,40,50,190
95PP16,LISNARRICK,FERMANAGH,520,20,30,40,170,20,20,30,30,180
95PP17,LISNASKEA,FERMANAGH,960,80,70,90,190,80,80,70,60,250
95PP18,MAGUIRESBRIDGE,FERMANAGH,700,50,40,70,160,40,70,50,50,180
95PP19,NEWTOWNBUTLER,FERMANAGH,680,60,60,80,130,50,70,50,40,160
95PP20,PORTORA,FERMANAGH,1020,70,80,90,230,70,70,60,70,290
95PP21,ROSSLEA,FERMANAGH,470,30,40,50,130,30,40,20,30,120
95PP22,ROSSORRY,FERMANAGH,850,50,30,60,210,60,70,60,50,280
95PP23,TEMPO,FERMANAGH,700,50,40,60,170,40,60,50,40,200
95QQ01,ANTIVILLE,LARNE,650,50,50,60,140,60,40,40,30,180
95QQ02,BALLYCARRY,LARNE,640,20,30,50,210,40,30,50,50,190
95QQ03,BALLYLORAN,LARNE,440,40,30,30,100,40,30,20,20,130
95QQ04,BLACKCAVE,LARNE,570,40,40,50,120,50,50,40,40,140
95QQ05,CARNCASTLE,LARNE,880,30,30,50,270,40,40,40,70,320
95QQ06,CARNLOUGH,LARNE,680,40,50,70,150,40,50,60,40,180
95QQ07,CENTRAL (LARNE),LARNE,840,60,60,110,210,40,50,50,30,230
95QQ08,CRAIGY HILL,LARNE,650,40,40,70,160,40,50,40,30,180
95QQ09,GARDENMORE,LARNE,840,30,30,40,250,30,40,30,50,340
95QQ10,GLENARM,LARNE,560,30,30,40,170,20,30,20,40,190
95QQ11,GLYNN,LARNE,570,30,10,50,170,20,30,40,30,200
95QQ12,HARBOUR (LARNE),LARNE,680,30,50,60,160,30,40,40,40,230
95QQ13,ISLAND MAGEE,LARNE,740,30,30,60,230,20,50,40,40,250
95QQ14,KILWAUGHTER,LARNE,1100,60,70,70,280,80,100,70,70,300
95QQ15,TOWN PARKS,LARNE,570,40,30,40,150,30,50,20,30,190
95RR01,AGHANLOO,LIMAVADY,1110,80,80,90,240,80,130,100,60,260
95RR02,BALLYKELLY,LIMAVADY,650,50,50,60,140,40,60,40,40,170
95RR03,COOLESSAN,LIMAVADY,680,90,70,70,90,70,90,50,40,110
95RR04,DUNGIVEN,LIMAVADY,710,40,80,90,120,70,80,50,40,160
95RR05,ENAGH (LIMAVADY),LIMAVADY,810,70,50,70,150,70,90,60,60,190
95RR06,FEENY,LIMAVADY,650,50,50,70,140,40,70,50,40,150
95RR07,FOREST,LIMAVADY,690,50,40,70,160,50,70,50,40,170
95RR08,GLACK,LIMAVADY,610,40,40,50,160,40,50,50,40,140
95RR09,GRESTEEL,LIMAVADY,1020,100,100,110,190,90,110,90,60,180
95RR10,GREYSTONE (LIMAVADY),LIMAVADY,710,100,60,70,100,80,80,60,30,140
95RR11,MAGILLIGAN,LIMAVADY,670,30,30,60,170,30,40,40,40,230
95RR12,RATHBRADY,LIMAVADY,640,30,30,50,180,40,30,30,50,190
95RR13,ROESIDE,LIMAVADY,700,50,60,70,160,50,40,30,40,210
95RR14,THE HIGHLANDS,LIMAVADY,580,40,60,60,120,40,60,50,20,140
95RR15,UPPER GLENSHANE,LIMAVADY,630,40,50,70,130,40,80,40,30,140
95SS01,BALLINDERRY,LISBURN,1140,40,50,90,340,40,70,50,70,380
95SS02,BALLYMACASH,LISBURN,1110,30,40,40,320,70,60,60,70,420
95SS03,BALLYMACBRENNAN,LISBURN,950,20,20,40,380,20,20,30,50,370
95SS04,BALLYMACOSS,LISBURN,1790,150,130,170,290,180,230,140,110,400
95SS05,BLARIS,LISBURN,1010,30,30,70,310,40,40,50,60,390
95SS06,COLLIN GLEN,LISBURN,2260,350,210,250,120,440,330,310,90,160
95SS07,DERRYAGHY,LISBURN,2230,240,210,200,320,260,280,180,100,450
95SS08,DROMARA,LISBURN,1120,40,30,70,350,40,70,60,70,400
95SS09,DRUMBO,LISBURN,900,20,20,30,320,20,20,50,60,360
95SS10,DUNMURRY,LISBURN,1060,80,70,100,220,60,60,90,70,310
95SS11,GLENAVY,LISBURN,1190,70,60,100,320,70,100,70,70,340
95SS12,HARMONY HILL,LISBURN,990,40,30,50,310,20,40,40,60,400
95SS13,HILDEN,LISBURN,960,70,60,110,200,80,90,70,50,250
95SS14,HILLHALL,LISBURN,1050,50,60,60,270,80,70,70,50,340
95SS15,HILLSBOROUGH,LISBURN,1130,30,20,30,390,20,30,30,80,510
95SS16,KILWEE,LISBURN,1220,140,90,140,200,80,110,130,80,250
95SS17,KNOCKMORE,LISBURN,1190,80,60,80,260,80,110,80,80,370
95SS18,LAGAN VALLEY,LISBURN,1120,70,60,80,250,90,80,70,50,380
95SS19,LAMBEG,LISBURN,820,50,50,60,190,80,60,50,40,240
95SS20,LISNAGARVY,LISBURN,1030,30,30,50,350,20,30,30,60,460
95SS21,MAGHABERRY,LISBURN,1070,40,50,80,320,40,60,60,60,360
95SS22,MAGHERALAVE,LISBURN,890,40,20,50,270,30,40,40,50,350
95SS23,MAZE,LISBURN,950,30,40,80,280,30,40,50,60,340
95SS24,MOIRA,LISBURN,1200,50,40,60,350,50,50,60,90,460
95SS25,OLD WARREN,LISBURN,960,80,70,90,170,140,110,70,30,210
95SS26,POLEGLASS,LISBURN,1310,170,90,160,170,170,140,130,100,180
95SS27,SEYMOUR HILL,LISBURN,930,50,70,80,210,60,70,70,40,290
95SS28,TONAGH,LISBURN,890,80,70,60,160,70,90,60,40,250
95SS29,TWINBROOK,LISBURN,1160,130,100,140,160,130,140,100,50,210
95SS30,WALLACE PARK,LISBURN,970,20,30,30,330,20,30,30,60,420
95TT01,BALLYMAGUIGAN,MAGHERAFELT,680,30,30,40,180,30,60,30,40,250
95TT02,BELLAGHY,MAGHERAFELT,660,40,40,60,150,50,60,40,50,180
95TT03,CASTLEDAWSON,MAGHERAFELT,900,60,50,90,200,60,90,70,40,240
95TT04,DRAPERSTOWN,MAGHERAFELT,780,40,60,80,180,50,80,60,50,180
95TT05,GLEBE (MAGHERAFELT),MAGHERAFELT,890,60,60,70,170,70,90,60,60,250
95TT06,GULLADUFF,MAGHERAFELT,690,40,40,70,160,30,50,50,40,210
95TT07,KNOCKCLOGHRIM,MAGHERAFELT,670,20,30,60,200,20,50,50,40,210
95TT08,LECUMPHER,MAGHERAFELT,640,40,20,60,170,20,50,50,40,190
95TT09,LOWER GLENSHANE,MAGHERAFELT,730,40,40,60,200,20,60,40,50,230
95TT10,MAGHERA,MAGHERAFELT,860,60,60,90,170,80,100,70,40,210
95TT11,SWATRAGH,MAGHERAFELT,780,40,40,80,200,40,70,60,60,220
95TT12,TOBERMORE,MAGHERAFELT,710,30,30,60,190,30,60,50,40,220
95TT13,TOWN PARKS EAST,MAGHERAFELT,850,80,70,60,150,70,80,70,50,220
95TT14,TOWN PARKS WEST,MAGHERAFELT,640,30,30,60,170,40,50,40,50,180
95TT15,UPPERLANDS,MAGHERAFELT,680,30,40,60,170,30,50,50,30,210
95TT16,VALLEY (MAGHERAFELT),MAGHERAFELT,680,30,30,60,160,40,60,40,40,220
95UU01,ARMOY,MOYLE,310,20,30,40,60,20,30,30,10,70
95UU02,BALLYLOUGH,MOYLE,370,20,20,30,100,20,30,20,20,130
95UU03,BONAMARGY AND RATHLIN,MOYLE,380,20,20,30,110,10,10,10,20,150
95UU04,BUSHMILLS,MOYLE,280,20,20,30,60,20,20,20,20,70
95UU05,CARNMOON,MOYLE,310,30,10,30,80,10,20,20,20,100
95UU06,DALRIADA,MOYLE,510,30,20,40,140,30,30,30,40,150
95UU07,DUNSEVERICK,MOYLE,260,10,10,20,80,10,10,10,20,100
95UU08,GLENAAN,MOYLE,390,20,10,40,110,30,10,40,20,110
95UU09,GLENARIFF,MOYLE,450,20,20,50,120,30,40,20,40,120
95UU10,GLENDUN,MOYLE,340,10,20,30,110,10,20,10,20,110
95UU11,GLENSHESK,MOYLE,280,10,10,30,90,10,20,20,20,90
95UU12,GLENTAISIE,MOYLE,510,40,50,50,100,50,40,30,30,120
95UU13,KINBANE,MOYLE,280,20,20,30,80,10,10,20,20,70
95UU14,KNOCKLAYD,MOYLE,600,30,70,60,110,50,50,50,30,160
95UU15,MOSS-SIDE AND MOYARGET,MOYLE,330,20,20,40,80,20,20,30,20,80
95VV01,ANNALONG,NEWRY AND MOURNE,970,50,60,90,230,50,80,80,50,280
95VV02,BALLYBOT,NEWRY AND MOURNE,960,80,90,100,170,80,90,90,40,210
95VV03,BESSBROOK,NEWRY AND MOURNE,1040,90,110,110,190,110,90,70,40,250
95VV04,BINNIAN,NEWRY AND MOURNE,830,40,50,60,230,50,60,50,50,250
95VV05,BURREN AND KILBRONEY,NEWRY AND MOURNE,870,40,50,80,220,40,80,60,60,240
95VV06,CAMLOUGH,NEWRY AND MOURNE,970,60,80,120,190,70,100,80,60,230
95VV07,CLONALLAN,NEWRY AND MOURNE,1370,100,90,140,290,110,120,120,70,350
95VV08,CREGGAN,NEWRY AND MOURNE,980,70,100,120,190,70,90,80,50,210
95VV09,CROSSMAGLEN,NEWRY AND MOURNE,940,80,100,140,170,60,90,70,50,180
95VV10,DAISY HILL,NEWRY AND MOURNE,1200,130,120,120,160,150,160,120,40,220
95VV11,DERRYLECKAGH,NEWRY AND MOURNE,1100,50,70,110,240,70,90,90,70,300
95VV12,DERRYMORE,NEWRY AND MOURNE,1010,80,70,100,200,100,110,70,60,230
95VV13,DONAGHMORE (NEWRY AND MOURNE),NEWRY AND MOURNE,770,40,50,70,200,40,70,50,50,210
95VV14,DRUMALANE,NEWRY AND MOURNE,1010,70,90,110,200,60,80,80,70,260
95VV15,DRUMGULLION,NEWRY AND MOURNE,1000,90,90,110,160,100,100,100,50,200
95VV16,FATHOM,NEWRY AND MOURNE,870,50,60,90,190,60,80,70,50,220
95VV17,FORKHILL,NEWRY AND MOURNE,1220,90,110,120,240,90,130,90,80,270
95VV18,KILKEEL CENTRAL,NEWRY AND MOURNE,1220,80,80,110,270,80,100,80,70,360
95VV19,KILKEEL SOUTH,NEWRY AND MOURNE,1000,80,60,90,210,100,90,60,60,250
95VV20,LISNACREE,NEWRY AND MOURNE,810,30,60,80,210,30,70,50,50,240
95VV21,MAYOBRIDGE,NEWRY AND MOURNE,880,50,60,80,210,50,80,60,60,230
95VV22,NEWTOWNHAMILTON,NEWRY AND MOURNE,770,50,50,90,160,60,80,50,40,190
95VV23,ROSTREVOR,NEWRY AND MOURNE,890,40,50,80,230,30,60,60,60,280
95VV24,SEAVIEW,NEWRY AND MOURNE,1030,50,60,100,230,40,70,70,60,340
95VV25,SILVER BRIDGE,NEWRY AND MOURNE,970,60,80,110,210,60,100,70,60,230
95VV26,SPELGA,NEWRY AND MOURNE,900,50,70,90,190,60,100,60,60,220
95VV27,ST MARYS,NEWRY AND MOURNE,890,70,80,90,180,60,50,60,50,240
95VV28,ST PATRICKS,NEWRY AND MOURNE,1170,70,80,150,250,70,90,100,70,280
95VV29,TULLYHAPPY,NEWRY AND MOURNE,780,30,60,60,200,50,60,50,40,240
95VV30,WINDSOR HILL,NEWRY AND MOURNE,960,50,40,80,220,50,70,70,60,320
95WW01,ABBEY,NEWTOWNABBEY,1020,70,50,80,240,60,70,60,50,340
95WW02,BALLYCLARE NORTH,NEWTOWNABBEY,1200,80,60,70,310,80,90,70,70,380
95WW03,BALLYCLARE SOUTH,NEWTOWNABBEY,1080,50,60,110,250,70,80,80,70,310
95WW04,BALLYDUFF,NEWTOWNABBEY,890,40,40,50,240,50,70,60,60,280
95WW05,BALLYHENRY,NEWTOWNABBEY,950,40,50,70,240,40,50,50,70,330
95WW06,BALLYNURE,NEWTOWNABBEY,790,30,20,50,250,30,30,30,50,300
95WW07,BALLYROBERT,NEWTOWNABBEY,1080,40,40,60,330,50,60,60,80,370
95WW08,BURNTHILL,NEWTOWNABBEY,820,30,20,40,260,20,40,40,50,310
95WW09,CARNMONEY,NEWTOWNABBEY,1070,50,40,60,320,60,60,60,70,360
95WW10,CLOUGHFERN,NEWTOWNABBEY,950,50,40,70,210,70,60,80,50,330
95WW11,COLLINBRIDGE,NEWTOWNABBEY,760,40,20,50,220,20,40,60,50,260
95WW12,COOLE,NEWTOWNABBEY,960,90,60,90,160,100,90,90,50,240
95WW13,DOAGH,NEWTOWNABBEY,870,30,30,60,260,30,40,50,60,300
95WW14,DUNANNEY,NEWTOWNABBEY,930,100,70,110,150,110,80,70,30,210
95WW15,GLEBE (NEWTOWNABBEY),NEWTOWNABBEY,870,40,40,60,240,30,50,50,60,310
95WW16,GLENGORMLEY,NEWTOWNABBEY,920,50,60,70,210,70,70,70,40,290
95WW17,HAWTHORNE,NEWTOWNABBEY,920,40,40,50,240,50,60,50,60,330
95WW18,HIGHTOWN,NEWTOWNABBEY,800,30,30,40,230,40,40,30,40,320
95WW19,JORDANSTOWN,NEWTOWNABBEY,1360,60,30,70,430,40,70,70,100,500
95WW20,MALLUSK,NEWTOWNABBEY,1390,90,80,90,350,70,140,90,100,380
95WW21,MONKSTOWN,NEWTOWNABBEY,1070,90,90,90,190,110,120,70,50,270
95WW22,MOSSLEY,NEWTOWNABBEY,910,50,50,70,190,80,90,80,60,240
95WW23,ROSTULLA,NEWTOWNABBEY,1040,60,50,60,300,40,50,50,50,390
95WW24,VALLEY (NEWTOWNABBEY),NEWTOWNABBEY,1310,100,90,150,240,120,120,90,60,340
95WW25,WHITEHOUSE,NEWTOWNABBEY,1020,70,70,120,210,60,70,70,60,300
95XX01,BALLYCROCHAN,NORTH DOWN,1040,50,30,60,300,50,70,80,90,320
95XX02,BALLYHOLME,NORTH DOWN,830,20,10,20,290,10,20,30,50,390
95XX03,BALLYMACONNELL,NORTH DOWN,810,10,30,30,290,10,30,30,70,320
95XX04,BALLYMAGEE,NORTH DOWN,970,40,30,50,280,30,60,50,70,360
95XX05,BANGOR CASTLE,NORTH DOWN,1090,40,40,50,330,50,40,50,50,440
95XX06,BLOOMFIELD (NORTH DOWN),NORTH DOWN,1130,70,70,80,250,80,110,80,60,320
95XX07,BROADWAY,NORTH DOWN,1050,30,20,40,370,20,30,30,80,440
95XX08,BRYANSBURN,NORTH DOWN,960,30,20,40,330,20,20,20,50,420
95XX09,CHURCHILL,NORTH DOWN,1130,30,20,50,340,30,40,40,70,520
95XX10,CLANDEBOYE,NORTH DOWN,1050,80,60,80,220,120,110,60,50,270
95XX11,CONLIG,NORTH DOWN,1590,130,120,140,300,160,180,120,120,330
95XX12,CRAIGAVAD,NORTH DOWN,860,30,20,40,320,20,20,30,50,340
95XX13,CRAWFORDSBURN,NORTH DOWN,1030,10,20,40,390,10,20,20,60,480
95XX14,CULTRA,NORTH DOWN,790,10,10,10,290,10,20,20,50,370
95XX15,DUFFERIN,NORTH DOWN,930,70,70,80,200,60,70,60,60,280
95XX16,GROOMSPORT,NORTH DOWN,1360,20,20,60,470,10,30,60,90,610
95XX17,HARBOUR (NORTH DOWN),NORTH DOWN,970,90,80,120,200,60,70,60,50,240
95XX18,HOLYWOOD DEMESNE,NORTH DOWN,860,30,20,70,230,30,50,50,60,310
95XX19,HOLYWOOD PRIORY,NORTH DOWN,860,20,20,50,300,20,30,30,60,350
95XX20,LOUGHVIEW,NORTH DOWN,840,40,50,70,190,70,50,70,40,260
95XX21,PRINCETOWN,NORTH DOWN,1110,30,40,50,370,20,20,20,70,500
95XX22,RATHGAEL,NORTH DOWN,780,50,30,50,220,40,40,40,50,260
95XX23,SILVERSTREAM,NORTH DOWN,860,50,50,50,200,50,70,40,60,280
95XX24,SPRING HILL,NORTH DOWN,1010,20,30,40,330,20,40,40,60,430
95XX25,WHITEHILL,NORTH DOWN,830,60,50,80,170,70,60,60,30,260
95YY01,BERAGH,OMAGH,780,60,50,70,210,30,60,40,50,220
95YY02,CAMOWEN,OMAGH,950,60,50,100,170,60,80,80,70,280
95YY03,CLANABOGAN,OMAGH,780,40,50,80,220,30,70,50,50,190
95YY04,COOLNAGARD,OMAGH,1080,80,70,120,200,90,110,80,60,260
95YY05,DERGMONEY,OMAGH,720,40,50,70,180,30,40,50,40,220
95YY06,DROMORE,OMAGH,730,50,60,100,130,40,70,60,50,180
95YY07,DRUMNAKILLY,OMAGH,780,50,60,100,160,50,70,70,30,190
95YY08,DRUMQUIN,OMAGH,650,50,50,80,140,40,70,40,40,160
95YY09,DRUMRAGH,OMAGH,910,70,70,110,200,50,60,70,60,240
95YY10,FAIRY WATER,OMAGH,620,30,20,60,190,20,30,40,40,200
95YY11,FINTONA,OMAGH,780,60,60,90,160,50,70,60,50,190
95YY12,GORTIN,OMAGH,710,40,50,70,170,30,60,40,30,210
95YY13,GORTRUSH,OMAGH,950,60,90,80,170,80,100,80,50,230
95YY14,KILLYCLOGHER,OMAGH,840,70,80,100,110,80,90,90,50,170
95YY15,LISANELLY,OMAGH,840,100,70,100,110,110,120,60,40,150
95YY16,NEWTOWNSAVILLE,OMAGH,660,30,40,70,180,30,40,50,50,170
95YY17,OWENKILLEW,OMAGH,610,30,50,80,140,30,50,40,40,160
95YY18,SIXMILECROSS,OMAGH,590,30,40,80,130,30,50,50,40,140
95YY19,STRULE,OMAGH,660,40,60,90,130,50,40,30,40,180
95YY20,TERMON,OMAGH,770,50,50,120,150,30,60,70,50,180
95YY21,TRILLICK,OMAGH,580,40,30,70,160,20,30,40,30,170
95ZZ01,ARTIGARVAN,STRABANE,860,60,50,80,200,70,80,60,50,220
95ZZ02,BALLYCOLMAN,STRABANE,850,70,80,90,120,90,100,100,40,180
95ZZ03,CASTLEDERG,STRABANE,950,60,80,120,190,60,70,70,40,260
95ZZ04,CLARE,STRABANE,830,40,70,80,200,40,70,60,40,230
95ZZ05,DUNNAMANAGH,STRABANE,710,50,40,100,150,60,60,70,30,160
95ZZ06,EAST,STRABANE,950,90,120,100,160,80,100,80,50,180
95ZZ07,FINN,STRABANE,930,70,80,90,170,90,110,70,50,200
95ZZ08,GLENDERG,STRABANE,960,70,80,110,210,60,80,80,60,210
95ZZ09,NEWTOWNSTEWART,STRABANE,860,80,60,90,180,50,80,60,40,220
95ZZ10,NORTH,STRABANE,1190,110,120,120,200,100,140,80,70,250
95ZZ11,PLUMBRIDGE,STRABANE,640,30,60,70,160,30,40,40,30,170
95ZZ12,SION MILLS,STRABANE,1010,80,80,90,210,80,100,70,40,260
95ZZ13,SLIEVEKIRK,STRABANE,750,60,60,80,160,40,80,40,30,200
95ZZ14,SOUTH,STRABANE,970,90,60,100,180,90,110,100,50,190
95ZZ15,VICTORIA BRIDGE,STRABANE,780,40,60,80,190,50,70,50,50,210
95ZZ16,WEST,STRABANE,1160,80,100,100,240,100,130,70,70,260
