Academic Year,FE Colleges,DEL Training Programmes,Other,Number of enrolments
Up to 31 July 2003,3700,53,256,4009
1 August 2003 - 31 July 2004,6200,1784,1117,9101
1 August 2004 - 31 July 2005,8473,2099,2489,13061
1 August 2005 - 31 July 2006,11848,2945,2466,17259
1 August 2006 - 31 July 2007,13435,5655,1168,20258
1 August 2007 - 31 July 2008,17143,7393,1011,25547
1 August 2008 - 31 July 2009,22174,12796,0,34970
1 August 2009 - 31 July 2010,33745,16136,0,49881
1 August 2010 - 31 July 2011,38175,21826,0,60001
1 August 2011 - 31 July 2012,39015,20197,0,59212
1 August 2012 - 31 July 2013,34043,17692,0,51735
1 August 2013 - 31 July 2014,31448,14344,0,45792
