TestCentre,TestDetails,AllTests,AllFullTests,AllRetests,CarsFullTests,CarsRetests,TaxisFullTests,TaxisRetests,HGVFullTests,HGVRetests
Armagh,TestsConducted,45839,38308,7531,30518,5645,236,69,1873,563
Armagh,Pass,36842,29860,6982,23970,5264,171,65,1386,519
Armagh,Fail,8997,8448,549,6548,381,65,4,487,44
Armagh,Pass%,.803726084774973,.779471650830114,.927101314566459,.785438102103676,.932506643046944,.724576271186441,.942028985507246,.739989321943406,.921847246891652
Ballymena,Tests Conducted,75314,62301,13013,51321,10542,644,129,1527,405
Ballymena,Pass,62105,49899,12206,41175,9935,526,114,1142,378
Ballymena,Fail,13209,12402,807,10146,607,118,15,385,27
Ballymena,Pass %,.82461428154128,.800934174411326,.937985091831246,.802303150757,.942420793018403,.816770186335404,.883720930232558,.747871643745907,.933333333333333
Belfast,Tests Conducted,102800,86285,16515,72798,13856,2482,661,1698,307
Belfast,Pass,88825,73274,15551,62015,13084,1995,614,1424,284
Belfast,Fail,13975,13011,964,10783,772,487,47,274,23
Belfast,Pass %,.864056420233463,.849209016630932,.941628822282773,.851877798840628,.944284064665127,.80378726833199,.928895612708018,.838633686690224,.925081433224756
Coleraine,Tests Conducted,69636,58699,10937,49500,9002,341,108,1284,368
Coleraine,Pass,57221,46999,10222,39783,8446,259,102,932,335
Coleraine,Fail,12415,11700,715,9717,556,82,6,352,33
Coleraine,Pass %,.821715779194669,.800678035400944,.934625582883789,.80369696969697,.938235947567207,.759530791788856,.944444444444444,.725856697819315,.910326086956522
Cookstown,Tests Conducted,63261,50979,12282,41127,9531,214,87,1869,638
Cookstown,Pass,50636,39253,11383,32052,8899,152,75,1228,557
Cookstown,Fail,12625,11726,899,9075,632,62,12,641,81
Cookstown,Pass %,.800429964749214,.769983718786167,.926803452206481,.779342038077176,.933690064001679,.710280373831776,.862068965517241,.657035848047084,.873040752351097
Craigavon,Tests Conducted,67301,57184,10117,46566,8490,266,91,2146,312
Craigavon,Pass,55393,45928,9465,37026,7949,198,85,1878,293
Craigavon,Fail,11908,11256,652,9540,541,68,6,268,19
Craigavon,Pass %,.823063550318717,.803161723559037,.935554017989523,.795129493621956,.936277974087161,.744360902255639,.934065934065934,.875116495806151,.939102564102564
Downpatrick,Tests Conducted,41016,34726,6290,30081,5240,181,57,634,182
Downpatrick,Pass,34041,28103,5938,24531,4982,139,54,447,160
Downpatrick,Fail,6975,6623,352,5550,258,42,3,187,22
Downpatrick,Pass %,.829944411936805,.809278350515464,.944038155802862,.81549815498155,.950763358778626,.767955801104972,.947368421052632,.705047318611987,.879120879120879
Enniskillen,Tests Conducted,47685,39487,8198,31945,6556,172,48,1216,400
Enniskillen,Pass,38778,31167,7611,25239,6109,132,47,835,360
Enniskillen,Fail,8907,8320,587,6706,447,40,1,381,40
Enniskillen,Pass %,.813211701793017,.789297743561172,.928397170041473,.79007669431836,.931818181818182,.767441860465116,.979166666666667,.686677631578947,.9
Larne,Tests Conducted,44327,38454,5873,32545,5040,226,49,960,134
Larne,Pass,36411,30890,5521,26030,4745,180,47,801,120
Larne,Fail,7916,7564,352,6515,295,46,2,159,14
Larne,Pass %,.821418097322174,.803297446299475,.940064702877575,.799815639883239,.941468253968254,.79646017699115,.959183673469388,.834375,.895522388059702
Lisburn,Tests Conducted,66996,58221,8775,49870,7230,505,76,1489,392
Lisburn,Pass,56545,48178,8367,41471,6931,405,70,1115,364
Lisburn,Fail,10451,10043,408,8399,299,100,6,374,28
Lisburn,Pass %,.84400561227536,.827502104051803,.953504273504273,.831582113495087,.958644536652835,.801980198019802,.921052631578947,.748824714573539,.928571428571429
Londonderry,Tests Conducted,73013,60264,12749,50666,10202,1520,418,1251,432
Londonderry,Pass,60006,48029,11977,40750,9664,1154,393,850,378
Londonderry,Fail,13007,12235,772,9916,538,366,25,401,54
Londonderry,Pass %,.82185364250202,.796976636134342,.939446231076947,.804286898511823,.94726524210939,.759210526315789,.940191387559809,.679456434852118,.875
Mallusk,Tests Conducted,83138,69239,13899,53226,11116,1260,303,3342,633
Mallusk,Pass,69478,56465,13013,43039,10454,1000,281,2746,593
Mallusk,Fail,13660,12774,886,10187,662,260,22,596,40
Mallusk,Pass %,.835694868772403,.815508600644146,.936254406791856,.808608574756698,.940446203670385,.793650793650794,.927392739273927,.821663674446439,.936808846761453
Newry,Tests Conducted,74076,60607,13469,49414,10411,424,148,2678,864
Newry,Pass,59471,46771,12700,38646,9873,297,136,1806,800
Newry,Fail,14605,13836,769,10768,538,127,12,872,64
Newry,Pass %,.802837626221718,.771709538502153,.942905932140471,.782086048488283,.948323888195178,.700471698113208,.918918918918919,.674383868558626,.925925925925926
Newtownards,Tests Conducted,109974,94316,15658,83940,13627,790,184,861,281
Newtownards,Pass,92037,77250,14787,69073,12936,624,171,581,243
Newtownards,Fail,17937,17066,871,14867,691,166,13,280,38
Newtownards,Pass %,.836897812210159,.819055091394885,.944373483203474,.822885394329283,.94929184706832,.789873417721519,.929347826086957,.67479674796748,.864768683274021
Omagh,Tests Conducted,44819,36847,7972,30068,6233,229,79,1063,369
Omagh,Pass,36033,28678,7355,23602,5780,163,73,739,326
Omagh,Fail,8786,8169,617,6466,453,66,6,324,43
Omagh,Pass %,.803967067538321,.778299454501045,.922604114400401,.784954104030863,.927322316701428,.7117903930131,.924050632911392,.695202257761054,.883468834688347
Overall,Tests Conducted,1009195,845917,163278,703585,132721,9490,2507,23891,6280
Overall,Pass,833822,680744,153078,568402,125051,7395,2327,17910,5710
Overall,Fail,175373,165173,10200,135183,7670,2095,180,5981,570
Overall,Pass %,.826224862390321,.804740890654757,.937529857053614,.807865432037352,.942209597576872,.779241306638567,.928201037096131,.749654681679294,.909235668789809
