Quarter Year,Urban,Rural,Total Verified Sales
Q1 2005,2164,771,2935
Q2 2005,5922,2051,7973
Q3 2005,6337,2106,8443
Q4 2005,7151,2472,9623
Q1 2006,6393,2193,8586
Q2 2006,8076,2742,10818
Q3 2006,8016,2828,10844
Q4 2006,7948,2880,10828
Q1 2007,6476,2214,8690
Q2 2007,6940,2379,9319
Q3 2007,4944,1819,6763
Q4 2007,3050,1228,4278
Q1 2008,2185,815,3000
Q2 2008,2332,982,3314
Q3 2008,1606,647,2253
Q4 2008,1616,633,2249
Q1 2009,1415,580,1995
Q2 2009,2072,755,2827
Q3 2009,2384,851,3235
Q4 2009,2600,984,3584
Q1 2010,1847,657,2504
Q2 2010,1975,721,2696
Q3 2010,1883,823,2706
Q4 2010,2047,765,2812
Q1 2011,1774,626,2400
Q2 2011,1943,675,2618
Q3 2011,2378,829,3207
Q4 2011,2254,824,3078
Q1 2012,2356,819,3175
Q2 2012,2337,790,3127
Q3 2012,2605,952,3557
Q4 2012,2751,1016,3767
Q1 2013,2518,917,3435
Q2 2013,2877,998,3875
Q3 2013,3087,1122,4209
Q4 2013,3672,1383,5055
Q1 2014,3359,1269,4628
Q2 2014,3831,1431,5262
Q3 2014,3974,1509,5483
Q4 2014,4195,1649,5844
Q1 2015,3250,1310,4560
Q2 2015,3747,1477,5224
Q3 2015,4113,1598,5711
Q4 2015,4276,1711,5987
Q1 2016,4099,1580,5679
Q2 2016,2969,1106,4075
